Date,Open,High,Low,Close,Volume,Adj Close
2014-05-08,15.25,16.43,13.95,14.1,28400,14.1
2014-05-09,14.14,15.0,14.0,14.26,1128100,14.26
2014-05-12,14.48,14.74,14.3,14.5,309800,14.5
2014-05-13,14.4,14.51,12.5,12.51,992500,12.51
2014-05-14,12.95,13.81,12.95,13.71,502300,13.71
2014-05-15,13.82,13.97,13.3,13.66,299400,13.66
2014-05-16,13.5,13.61,13.31,13.49,222900,13.49
2014-05-19,13.5,13.52,12.9,13.0,277300,13.0
2014-05-20,13.18,13.81,13.1,13.42,474600,13.42
2014-05-21,13.24,13.7,13.24,13.64,167400,13.64
2014-05-22,13.81,14.9,13.8,14.89,698800,14.89
2014-05-23,14.88,15.0,14.1,14.76,315700,14.76
2014-05-27,14.8,15.6,14.65,15.01,660600,15.01
2014-05-28,14.6,15.9,14.45,15.35,848700,15.35
2014-05-29,15.05,16.969999,14.8,16.629999,1550500,16.629999
2014-05-30,16.799999,17.799999,16.77,17.77,1318100,17.77
2014-06-02,17.969999,18.1,17.1,17.299999,566800,17.299999
2014-06-03,17.25,17.315001,14.5,14.54,957900,14.54
2014-06-04,15.0,15.98,15.0,15.5,557100,15.5
2014-06-05,15.75,16.34,15.61,16.190001,416100,16.190001
2014-06-06,16.58,20.790001,16.469999,19.75,2256200,19.75
2014-06-09,19.82,20.290001,18.77,19.23,985800,19.23
2014-06-10,19.24,20.57,19.09,20.52,1254600,20.52
2014-06-11,20.299999,21.209999,19.709999,20.629999,761800,20.629999
2014-06-12,20.799999,22.200001,20.629999,21.34,890700,21.34
2014-06-13,21.65,22.5,21.379999,21.98,761400,21.98
2014-06-16,21.790001,21.790001,20.360001,21.17,689500,21.17
2014-06-17,21.48,23.73,21.15,23.639999,1281900,23.639999
2014-06-18,24.32,24.879999,23.299999,24.530001,1186900,24.530001
2014-06-19,24.879999,25.0,23.030001,23.08,698400,23.08
2014-06-20,23.059999,23.42,21.540001,21.799999,864400,21.799999
2014-06-23,21.629999,23.370001,20.58,23.27,1536100,23.27
2014-06-24,23.379999,23.620001,21.481001,21.75,599600,21.75
2014-06-25,22.280001,22.9,21.75,21.92,877000,21.92
2014-06-26,21.889999,23.379999,21.68,22.18,744100,22.18
2014-06-27,22.200001,22.35,21.15,21.24,1028200,21.24
2014-06-30,21.309999,22.209999,21.120001,21.24,1012700,21.24
2014-07-01,21.58,21.916,20.93,21.280001,918600,21.280001
2014-07-02,21.459999,21.75,20.91,20.92,863600,20.92
2014-07-03,21.049999,21.33,20.709999,20.92,632500,20.92
2014-07-07,21.01,21.09,19.799999,20.32,1599700,20.32
2014-07-08,20.040001,20.139999,18.799999,18.82,1607900,18.82
2014-07-09,19.1,19.5,18.809999,18.84,966400,18.84
2014-07-10,18.709999,20.174,18.26,19.440001,1205100,19.440001
2014-07-11,19.450001,21.0,19.309999,21.0,591300,21.0
2014-07-14,21.32,21.68,19.66,20.209999,931200,20.209999
2014-07-15,20.0,21.18,19.9,20.66,878500,20.66
2014-07-16,21.059999,21.139999,20.35,20.84,398700,20.84
2014-07-17,20.59,20.59,19.59,19.969999,583500,19.969999
2014-07-18,19.940001,20.370001,19.299999,19.42,553500,19.42
2014-07-21,19.700001,19.700001,19.030001,19.17,568800,19.17
2014-07-22,19.4,20.780001,19.4,19.99,468900,19.99
2014-07-23,20.0,20.6,19.799999,20.200001,425400,20.200001
