Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,36.439,36.439,35.113,35.805,1478000,13.71846
2000-01-04,34.8247,35.401,34.479,34.998,1341200,13.40926
2000-01-05,33.9022,35.055,33.787,34.883,2390300,13.3652
2000-01-06,34.652,35.805,34.652,35.171,1140200,13.47555
2000-01-07,35.4059,36.093,35.055,35.978,1088600,13.78474
2000-01-10,35.8026,36.093,34.94,35.229,1429500,13.49777
2000-01-11,34.8801,35.747,34.652,35.69,1225300,13.6744
2000-01-12,35.6365,35.863,35.286,35.632,1721900,13.65218
2000-01-13,35.5166,35.747,35.171,35.459,944300,13.58589
2000-01-14,35.7472,35.978,34.076,34.363,1861100,13.16597
2000-01-18,34.3635,35.055,34.076,34.768,1784400,13.32114
2000-01-19,34.714,35.401,34.652,35.171,2027700,13.47555
2000-01-20,35.1753,35.459,35.113,35.286,2053000,13.51961
2000-01-21,35.5166,35.69,35.171,35.517,1901400,13.60811
2000-01-24,35.6365,36.036,35.055,35.229,1734500,13.49777
2000-01-25,35.1753,35.229,34.133,34.191,1378500,13.10007
2000-01-26,34.1328,35.171,34.018,34.594,1775800,13.25447
2000-01-27,34.594,34.594,33.21,33.441,1312000,12.81271
2000-01-28,33.3856,33.614,33.21,33.21,879400,12.7242
2000-01-31,33.2103,34.94,33.21,34.306,1119700,13.14413
2000-02-01,34.2528,34.306,33.21,33.21,957000,12.7242
2000-02-02,33.2657,33.556,32.518,32.518,1154300,12.45907
2000-02-03,32.6384,32.749,31.827,32.403,2014300,12.415
2000-02-04,32.2878,32.288,30.732,31.711,1490000,12.14987
2000-02-07,31.6513,31.654,30.732,31.077,1177000,11.90696
2000-02-08,31.024,32.749,30.904,32.634,1551400,12.50351
2000-02-09,32.4077,32.634,32.173,32.577,1254400,12.48167
2000-02-10,32.3432,32.461,32.057,32.403,1347800,12.415
2000-02-11,31.4852,31.942,31.019,31.596,2265300,12.10581
2000-02-14,31.6513,31.769,30.789,31.423,1794400,12.03952
2000-02-15,31.6513,32.461,31.481,32.115,2096700,12.30466
2000-02-16,32.057,32.057,30.962,31.308,1113100,11.99546
2000-02-17,30.7934,31.769,30.789,31.711,881100,12.14987
2000-02-18,31.8266,31.942,30.501,30.673,1219300,11.75217
2000-02-22,31.5406,31.827,31.365,31.711,1563100,12.14987
2000-02-23,31.3653,31.596,30.904,31.193,2242600,11.9514
2000-02-24,31.1347,31.135,29.982,30.386,1770300,11.6422
2000-02-25,29.8708,30.212,29.694,30.155,1490300,11.5537
2000-02-28,29.7509,30.386,29.348,29.751,1321600,11.39891
2000-02-29,29.117,29.866,29.117,29.463,1731400,11.28856
2000-03-01,29.4096,30.04,29.174,29.924,1194400,11.46519
2000-03-02,29.694,29.694,28.482,29.174,1207200,11.17783
2000-03-03,29.1144,29.809,28.425,29.809,1339700,11.42113
2000-03-06,29.5756,30.386,29.348,30.386,2172600,11.6422
2000-03-07,30.1568,30.386,29.52,30.386,1930700,11.6422
2000-03-08,30.4428,31.654,30.097,31.596,1518700,12.10581
2000-03-09,31.5959,31.827,30.673,31.827,3402300,12.19431
2000-03-10,30.9594,31.596,30.558,31.077,1689800,11.90696
2000-03-13,30.7934,31.25,30.386,30.443,1484100,11.66404
2000-03-14,30.4428,30.443,29.809,29.924,1324300,11.46519
2000-03-15,29.9262,31.596,29.694,31.25,2150500,11.97324
2000-03-16,31.6513,33.095,31.596,32.864,3283400,12.74147
2000-03-17,32.6937,32.807,29.29,30.155,3613400,11.69119
2000-03-20,31.4852,32.057,31.019,32.057,2226500,12.4286
2000-03-21,31.7159,31.769,30.962,31.308,1132900,12.13821
2000-03-22,31.3653,31.596,30.501,30.732,1420600,11.91489
2000-03-23,30.6734,30.847,29.694,30.097,1633100,11.6687
2000-03-24,30.3321,30.732,30.097,30.155,2500300,11.69119
2000-03-27,29.5756,29.694,28.656,28.656,3260200,11.11002
2000-03-28,28.6531,29.463,28.482,29.348,2224400,11.37831
2000-03-29,29.4096,30.155,29.117,29.924,1577400,11.60163
2000-03-30,30.4428,32.173,30.386,31.769,2434100,12.31694
2000-03-31,32.5185,32.692,31.885,32.173,2331300,12.47357
2000-04-03,32.2325,32.461,31.481,31.654,1720700,12.27235
2000-04-04,32.2878,34.133,32.231,33.845,3931500,13.12181
2000-04-05,33.7269,34.998,33.556,34.191,2453500,13.25596
2000-04-06,33.672,34.191,33.672,34.133,1277700,13.23347
2000-04-07,33.9022,34.076,33.21,33.441,1112400,12.96518
2000-04-10,32.7491,34.422,32.692,33.902,1523200,13.14391
2000-04-11,34.0221,34.825,34.018,34.363,1005800,13.32264
2000-04-12,34.7694,36.785,34.709,35.805,2095600,13.88171
2000-04-13,35.8026,36.843,35.517,36.497,1535700,14.15
2000-04-14,35.9779,36.093,34.825,34.825,1172400,13.50176
2000-04-17,34.8801,36.439,34.479,36.324,1321000,14.08293
2000-04-18,36.093,36.093,34.998,35.344,1019900,13.70298
2000-04-19,36.2638,36.267,34.94,35.171,747400,13.6359
2000-04-20,35.3413,35.344,34.422,34.709,865800,13.45679
2000-04-24,34.4834,34.998,34.133,34.306,1530500,13.30054
2000-04-25,34.714,35.055,33.96,34.768,1239000,13.47966
2000-04-26,34.768,34.768,33.21,33.268,2121100,12.89811
2000-04-27,32.8044,33.095,31.769,32.288,1659100,12.51816
2000-04-28,32.0572,32.231,31.308,31.365,1101600,12.16031
2000-05-01,31.4207,31.769,31.25,31.539,1486200,12.22777
2000-05-02,31.3653,31.596,30.558,31.308,1452500,12.13821
2000-05-03,33.672,35.171,33.672,34.709,4853600,13.45679
2000-05-04,34.714,35.978,34.191,35.401,2121600,13.72508
2000-05-05,34.714,35.113,33.787,34.133,1273200,13.23347
2000-05-08,34.3635,34.998,34.191,34.422,908900,13.34552
2000-05-09,34.3635,35.171,34.306,34.94,651000,13.54634
2000-05-10,34.8247,35.229,34.422,34.709,645900,13.45679
2000-05-11,34.9446,35.517,34.594,35.229,766700,13.65839
2000-05-12,35.3413,35.344,34.768,35.113,607700,13.61342
2000-05-15,35.0554,36.036,35.055,36.036,1056900,13.97127
2000-05-16,35.921,35.921,35.055,35.632,624300,13.81464
2000-05-17,35.4059,35.517,34.825,34.825,771800,13.50176
2000-05-18,35.0,35.171,34.709,34.94,593000,13.54634
2000-05-19,34.8247,35.401,34.594,35.113,578300,13.61342
2000-05-22,35.0554,35.575,34.537,35.286,474100,13.68049
2000-05-23,35.3413,35.921,34.709,35.805,533300,13.88171
2000-05-24,35.9225,37.42,35.747,37.304,1389300,14.46288
2000-05-25,37.0756,37.246,36.843,37.131,930500,14.3958
2000-05-26,37.131,38.688,37.131,38.573,769200,14.95487
2000-05-30,38.3395,38.342,36.67,37.477,1248100,14.52995
2000-05-31,36.151,36.151,36.151,36.151,803000,14.01585
2000-06-01,36.2085,36.554,35.805,35.978,885700,13.94878
2000-06-02,35.747,35.747,34.422,34.537,1479900,13.3901
2000-06-05,34.4188,34.883,33.73,34.076,1013300,13.21137
2000-06-06,34.1882,34.998,34.133,34.565,976600,13.40096
2000-06-07,34.9446,37.016,34.594,36.843,1211500,14.28414
2000-06-08,35.9779,36.497,35.517,36.497,753800,14.15
2000-06-09,36.4945,36.9,36.267,36.382,622400,14.10541
2000-06-12,36.267,36.958,36.267,36.613,325000,14.19497
2000-06-13,36.7251,37.823,35.978,36.151,1142400,14.01585
2000-06-14,36.3284,37.074,36.208,36.554,667900,14.1721
2000-06-15,36.559,37.766,36.497,37.304,1073900,14.46288
2000-06-16,38.5148,38.515,38.054,38.227,1869600,14.82073
2000-06-19,39.4373,39.495,38.515,38.573,1461200,14.95487
2000-06-20,38.69,39.265,37.938,38.573,1349300,14.95487
2000-06-21,38.5701,38.745,37.938,38.573,967500,14.95487
2000-06-22,37.7122,38.63,37.304,38.573,774500,15.09872
2000-06-23,38.7454,39.841,38.63,39.841,908100,15.59506
2000-06-26,39.8432,40.936,39.668,40.187,1173800,15.73049
2000-06-27,40.187,41.456,40.187,41.11,1951600,16.09179
2000-06-28,40.8764,40.936,39.322,39.553,1925000,15.48233
2000-06-29,39.7878,40.072,39.437,39.668,2355300,15.52734
2000-06-30,39.8432,40.821,39.726,40.36,2784200,15.79821
2000-07-03,40.36,40.59,40.36,40.59,1185200,15.88824
2000-07-05,41.2823,41.917,40.936,41.917,1422300,16.40767
2000-07-06,41.7435,41.802,40.475,41.686,1146300,16.31725
2000-07-07,41.5129,42.378,40.706,41.974,1118900,16.42998
2000-07-10,42.0295,42.032,41.456,41.859,986600,16.38497
2000-07-11,41.7435,41.744,39.783,40.014,1243400,15.66278
2000-07-12,39.8985,39.957,39.034,39.091,1075300,15.30148
2000-07-13,39.2066,39.265,38.342,38.63,1138500,15.12103
2000-07-14,38.2841,39.495,38.054,38.284,1510600,14.9856
2000-07-17,38.2841,38.342,36.67,36.958,1144100,14.46656
2000-07-18,36.9004,38.112,36.324,37.246,884500,14.57929
2000-07-19,37.5369,38.745,37.477,37.881,495900,14.82785
2000-07-20,38.112,38.688,38.112,38.515,684500,15.07602
2000-07-21,38.6347,38.688,37.362,37.477,550600,14.66971
2000-07-24,37.3616,37.42,36.439,36.497,1064700,14.28611
2000-07-25,36.7251,38.112,36.497,36.958,562400,14.46656
2000-07-26,36.4391,37.016,36.439,36.497,926300,14.28611
2000-07-27,36.3284,37.996,36.324,37.823,1016500,14.80515
2000-07-28,37.8229,37.938,37.304,37.708,693200,14.76013
