Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,83.265602,87.375,83.25,87.0,57710200,30.268296
2000-01-04,85.4375,87.875,82.25,82.9375,51019600,28.854906
2000-01-05,83.0,85.875,80.5,83.625,52389000,29.094095
2000-01-06,81.75,83.375,78.1875,78.75,55171200,27.398026
2000-01-07,77.5,82.0,77.375,82.0,41096400,28.528739
2000-01-10,85.75,87.25,84.125,85.75,53619800,29.833407
2000-01-11,88.5625,92.375,88.281197,89.6875,105481800,31.203308
2000-01-12,90.875,94.75,89.25,91.25,97326600,31.74692
2000-01-13,92.6875,93.0,89.3125,91.0625,76104200,31.681686
2000-01-14,98.5,106.625,98.25,103.0625,184405200,35.856624
2000-01-18,100.296799,105.75,100.25,102.125,102100600,35.530457
2000-01-19,101.0,102.125,99.875,100.0625,45568000,34.812889
2000-01-20,99.75,100.8125,95.4375,95.625,70002000,33.269032
2000-01-21,96.0,98.25,95.625,97.9375,55558200,34.073577
2000-01-24,102.234299,104.875,98.25,98.8125,74832600,34.378
2000-01-25,99.375,101.8125,97.4375,101.5625,51382600,35.334756
2000-01-26,100.75,101.1875,96.375,96.5,49306200,33.573455
2000-01-27,99.375,101.125,95.5,98.125,61482000,34.138811
2000-01-28,97.25,98.75,93.0625,94.0,53922800,32.703676
2000-01-31,93.625,99.0625,92.875,98.9375,68453200,34.421489
2000-02-01,98.375,101.5,96.625,101.4375,48051400,35.291267
2000-02-02,101.0,102.9375,99.6875,100.0625,52080600,34.812889
2000-02-03,101.6875,104.625,100.75,104.1875,56126000,36.258895
2000-02-04,104.375,108.25,104.25,104.75,55953800,36.454654
2000-02-07,104.9375,108.125,104.125,107.9375,42810000,37.563954
2000-02-08,108.8125,110.0625,108.0,108.8125,38026000,37.868468
2000-02-09,108.125,108.875,104.5,104.625,38615200,36.411152
2000-02-10,104.375,108.125,103.1875,107.625,43539200,37.455199
2000-02-11,107.25,108.75,105.25,105.875,37756000,36.846171
2000-02-14,106.3125,109.9375,105.640602,109.875,34374200,38.238234
2000-02-15,109.9375,112.875,105.25,112.0,62771400,38.977768
2000-02-16,111.375,112.875,107.0,107.1875,46050000,37.302942
2000-02-17,108.875,112.375,107.875,110.0,48669600,38.281736
2000-02-18,110.0,110.5,105.1875,105.375,50370000,36.672163
2000-02-22,104.875,106.8125,101.5625,106.75,45793600,37.150685
2000-02-23,105.3125,111.125,104.3125,109.0625,40842000,37.955472
2000-02-24,112.4375,116.5,110.25,114.25,85347800,39.760803
2000-02-25,113.875,115.375,112.8125,113.25,46299000,39.412788
2000-02-28,111.625,114.5625,108.25,112.375,47422200,39.108274
2000-02-29,113.1875,115.625,111.3125,113.0,44414200,39.325784
2000-03-01,112.875,116.875,112.5,115.875,40813000,40.326329
2000-03-02,115.375,117.0625,114.125,115.75,36469800,40.282827
2000-03-03,117.0,119.75,115.625,119.25,34285000,41.500882
2000-03-06,118.0,118.875,116.6875,117.375,28032000,40.848353
2000-03-07,117.8125,120.0,115.1875,115.75,39924200,40.282827
2000-03-08,116.125,116.4375,112.25,114.9375,46391200,40.000064
2000-03-09,113.6875,118.5,112.0,118.375,38375800,41.196369
2000-03-10,117.875,120.625,117.375,120.1875,43497600,41.827147
2000-03-13,118.8125,125.5,118.75,122.125,67439200,42.501428
2000-03-14,124.25,125.625,117.8125,117.875,56785000,41.022361
2000-03-15,119.0625,123.125,118.6875,120.1875,48895600,41.827147
2000-03-16,123.25,125.375,119.625,125.0625,54972800,43.523724
2000-03-17,124.3125,130.0,124.0,129.875,60851000,45.19855
2000-03-20,129.9375,137.375,129.9375,135.0,65163600,46.982131
2000-03-21,135.0,138.875,134.125,138.4375,51231000,48.178435
2000-03-22,140.375,145.375,139.5,144.0625,53693200,50.136024
2000-03-23,142.375,143.6875,139.4375,142.625,45593800,49.635751
2000-03-24,140.125,144.5,137.625,139.0625,46898000,48.395945
2000-03-27,139.625,143.75,139.0625,142.6875,35766200,49.657502
2000-03-28,140.625,142.5625,135.125,135.6875,44857800,47.221392
2000-03-29,136.5,137.6875,131.5,131.875,61325400,45.894582
2000-03-30,129.75,133.375,123.0625,127.0,71646800,44.198005
2000-03-31,129.625,134.875,128.25,131.9375,58442200,45.916333
2000-04-03,131.375,133.0,125.75,130.625,50071600,45.459562
2000-04-04,131.5,134.0,119.0,132.75,87341800,46.199095
2000-04-05,129.875,134.0,127.75,129.875,62101800,45.19855
2000-04-06,129.25,131.625,127.0,129.8125,55134000,45.176799
2000-04-07,131.375,137.0,131.3125,136.8125,51357200,47.61291
2000-04-10,137.5,139.0625,130.875,131.125,44849000,45.63357
2000-04-11,130.0,134.25,127.484299,130.75,53071200,45.503064
2000-04-12,129.9375,131.875,121.75,121.875,60169600,42.414424
2000-04-13,123.375,129.25,120.75,121.125,69414600,42.153412
2000-04-14,119.1875,120.75,108.375,110.5,92800400,38.455744
2000-04-17,110.0,123.25,109.5625,123.0,88873400,42.805942
2000-04-18,126.625,131.0,125.25,129.0,98558000,44.894036
2000-04-19,125.609299,125.75,118.9375,119.0625,87377800,41.435629
2000-04-20,117.9375,119.375,115.0,115.375,45799000,40.152321
2000-04-24,111.0,116.5,110.375,116.125,58320200,40.413333
2000-04-25,119.734299,125.25,119.5,125.0,51342400,43.501973
2000-04-26,124.25,125.0,120.625,120.8125,47572000,42.044657
2000-04-27,117.5625,126.5625,117.0,125.3125,61088400,43.610728
2000-04-28,128.0,129.0625,125.875,126.8125,44336400,44.132752
2000-05-01,127.9375,131.0,126.25,127.125,42389800,44.241507
2000-05-02,125.875,127.625,120.875,121.1875,43871400,42.175163
2000-05-03,120.125,120.625,115.875,119.0625,58988600,41.445891
2000-05-04,118.75,120.625,117.0625,119.5625,40984800,41.619942
2000-05-05,119.0,123.875,119.0,123.375,34217400,42.947081
2000-05-08,122.25,122.6875,117.5,117.625,40937800,40.945495
2000-05-09,118.375,119.25,115.0,116.9375,43054000,40.706175
2000-05-10,114.5,116.5,105.125,106.0625,97225600,36.920566
2000-05-11,107.125,116.0,106.375,115.5625,70267600,40.227534
2000-05-12,116.625,119.5,114.75,115.0,38429400,40.031727
2000-05-15,114.5625,118.25,112.75,118.125,41105400,41.119546
2000-05-16,119.75,122.875,118.6875,121.875,44468400,42.424928
2000-05-17,122.375,125.4375,120.375,123.1875,65543200,42.881812
2000-05-18,123.875,126.5,123.125,123.9375,50141400,43.142888
2000-05-19,121.875,123.625,116.3125,117.875,71968000,41.03252
2000-05-22,117.5,118.5625,111.375,118.375,59249600,41.206571
2000-05-23,117.75,119.875,109.8125,109.875,50385800,38.247704
2000-05-24,109.625,118.171799,109.5,117.375,75482200,40.858469
2000-05-25,118.6875,122.25,113.5625,115.1875,50488800,40.096996
2000-05-26,115.0,119.875,114.375,117.5625,30851000,40.923738
2000-05-30,119.25,125.875,119.125,125.75,41768000,43.773823
2000-05-31,126.25,127.9375,124.5,124.6875,54089600,43.403965
2000-06-01,126.1875,130.0,126.125,129.6875,45978400,45.144475
2000-06-02,132.8125,134.5625,132.0,134.1875,42657400,46.710934
2000-06-05,132.625,135.0,131.1875,132.5625,39176000,46.145268
2000-06-06,131.3125,135.0625,129.5,129.5625,47425200,45.100962
